Registration,AircraftType
TS-INC,Airbus A320-214
CN-COE,ATR 72-600
CN-COF,ATR 72-600
CN-COG,ATR 72-600
CN-COH,ATR 72-600
CN-COI,ATR 72-600
CN-ROX,Boeing 737-3M8(SF)
CN-RNL,Boeing 737-7B6
CN-RNM,Boeing 737-7B6
CN-RNQ,Boeing 737-7B6
CN-RNR,Boeing 737-7B6
CN-RNV,Boeing 737-7B6
CN-ROD,Boeing 737-7B6
CN-RGE,Boeing 737-86N
CN-RGF,Boeing 737-86N
CN-RGG,Boeing 737-86N
CN-RGH,Boeing 737-86N
CN-RGI,Boeing 737-86N
CN-RGJ,Boeing 737-8B6
CN-RGK,Boeing 737-8B6
CN-RGM,Boeing 737-8B6
CN-RGN,Boeing 737-8B6
CN-RGV,Boeing 737-85P
CN-RNJ,Boeing 737-8B6
CN-RNK,Boeing 737-8B6
CN-RNP,Boeing 737-8B6
CN-RNU,Boeing 737-8B6
CN-RNW,Boeing 737-8B6
CN-RNZ,Boeing 737-8B6
CN-ROA,Boeing 737-8B6
CN-ROB,Boeing 737-8B6
CN-ROC,Boeing 737-8B6
CN-ROE,Boeing 737-8B6
CN-ROH,Boeing 737-85P
CN-ROJ,Boeing 737-85P
CN-ROK,Boeing 737-8B6
CN-ROL,Boeing 737-8B6
CN-ROP,Boeing 737-8B6
CN-ROR,Boeing 737-8B6
CN-ROS,Boeing 737-8B6
CN-ROT,Boeing 737-8B6
CN-ROU,Boeing 737-8B6
CN-ROY,Boeing 737-8B6
CN-ROZ,Boeing 737-8B6
CN-RNS,Boeing 767-36N(ER)
CN-RNT,Boeing 767-36N(ER)
CN-ROV,Boeing 767-3Q8(ER)
CN-ROW,Boeing 767-343(ER)(BCF)
CN-RGB,Boeing 787-8 Dreamliner
CN-RGC,Boeing 787-8 Dreamliner
CN-RGS,Boeing 787-8 Dreamliner
CN-RGT,Boeing 787-8 Dreamliner
CN-RGU,Boeing 787-8 Dreamliner
CN-RGO,Embraer ERJ-190AR
CN-RGP,Embraer ERJ-190AR
CN-RGQ,Embraer ERJ-190AR
CN-RGR,Embraer ERJ-190AR
